date,open,high,low,close,volume
2024-05-17,189.51,190.81,189.18,189.87,41282925
2024-05-16,190.47,191.095,189.6601,189.84,52845230
2024-05-15,187.91,190.65,187.37,189.72,70399988
2024-05-14,187.51,188.3,186.29,187.43,52393619
2024-05-13,185.435,187.1,184.62,186.28,72044809
2024-05-10,184.9,185.09,182.13,183.05,50759496
2024-05-09,182.56,184.66,182.11,184.57,48982972
2024-05-08,182.85,183.07,181.45,182.74,45057087
2024-05-07,183.45,184.9,181.32,182.4,77305771
2024-05-06,182.354,184.2,180.42,181.71,78569667
2024-05-03,186.645,187.0,182.66,183.38,163224109
2024-05-02,172.51,173.415,170.89,173.03,94214915
2024-05-01,169.58,172.705,169.11,169.3,50383147
2024-04-30,173.33,174.99,170.0,170.33,65934776
2024-04-29,173.37,176.03,173.1,173.5,68169419
2024-04-26,169.88,171.34,169.18,169.3,44838354
2024-04-25,169.525,170.61,168.1511,169.89,50558329
2024-04-24,166.54,169.3,166.21,169.02,48251835
2024-04-23,165.35,167.05,164.92,166.9,49537761
2024-04-22,165.515,167.26,164.77,165.84,48116443
2024-04-19,166.21,166.4,164.075,165.0,68149377
2024-04-18,168.03,168.64,166.55,167.04,43122903
2024-04-17,169.61,170.65,168.0,168.0,50901210
2024-04-16,171.75,173.76,168.27,169.38,73711235
2024-04-15,175.36,176.63,172.5,172.69,73531773
2024-04-12,174.26,178.36,174.21,176.55,101670886
2024-04-11,168.34,175.46,168.16,175.04,91070275
2024-04-10,168.8,169.09,167.11,167.78,49709336
2024-04-09,168.7,170.08,168.35,169.67,42231444
2024-04-08,169.03,169.2,168.24,168.45,37216858
2024-04-05,169.59,170.39,168.95,169.58,41975776
2024-04-04,170.29,171.92,168.82,168.82,53355055
2024-04-03,168.79,170.68,168.58,169.65,45571129
2024-04-02,169.08,169.34,168.2302,168.84,49013991
2024-04-01,171.19,171.25,169.475,170.03,43772506
2024-03-28,171.75,172.23,170.51,171.48,65672690
2024-03-27,170.41,173.6,170.11,173.31,60273265
2024-03-26,170.0,171.42,169.58,169.71,57388449
2024-03-25,170.565,171.94,169.45,170.85,54288328
2024-03-22,171.76,173.05,170.06,172.28,71160138
2024-03-21,177.05,177.49,170.84,171.37,106181270
2024-03-20,175.72,178.67,175.09,178.67,53423102
2024-03-19,174.34,176.605,173.03,176.08,55215244
2024-03-18,175.57,177.71,173.52,173.72,75604184
2024-03-15,171.17,172.62,170.285,172.62,121752699
2024-03-14,172.91,174.3078,172.05,173.0,72571635
2024-03-13,172.77,173.185,170.76,171.13,51948951
2024-03-12,173.15,174.03,171.01,173.23,59544927
2024-03-11,172.94,174.38,172.05,172.75,58929918
2024-03-08,169.0,173.7,168.94,170.73,76267041
2024-03-07,169.15,170.73,168.49,169.0,71765061
2024-03-06,171.06,171.24,168.68,169.12,68587707
2024-03-05,170.76,172.04,169.62,170.12,95132355
2024-03-04,176.15,176.9,173.79,175.1,81510101
2024-03-01,179.55,180.53,177.38,179.66,73563082
2024-02-29,181.27,182.57,179.53,180.75,136682597
2024-02-28,182.51,183.12,180.13,181.42,48953939
2024-02-27,181.1,183.9225,179.56,182.63,54318851
2024-02-26,182.24,182.76,180.65,181.16,40867421
2024-02-23,185.01,185.04,182.23,182.52,45119677
2024-02-22,183.48,184.955,182.46,184.37,52292208
2024-02-21,181.94,182.8888,180.66,182.32,41529674
2024-02-20,181.79,182.43,180.0,181.56,53665553
2024-02-16,183.42,184.85,181.665,182.31,49752465
2024-02-15,183.55,184.49,181.35,183.86,65434496
2024-02-14,185.32,185.53,182.44,184.15,54630517
2024-02-13,185.77,186.21,183.5128,185.04,56529529
2024-02-12,188.415,188.67,186.79,187.15,41781934
2024-02-09,188.65,189.99,188.0,188.85,45155216
2024-02-08,189.385,189.535,187.35,188.32,40962046
2024-02-07,190.64,191.05,188.61,189.41,53438955
2024-02-06,186.86,189.31,186.7695,189.3,43490759
2024-02-05,188.15,189.25,185.84,187.68,69668820
2024-02-02,179.86,187.33,179.25,185.85,102551680
2024-02-01,183.985,186.95,183.82,186.86,64885408
2024-01-31,187.04,187.095,184.35,184.4,55467803
2024-01-30,190.94,191.8,187.47,188.04,55859370
2024-01-29,192.01,192.2,189.58,191.73,47145622
2024-01-26,194.27,194.76,191.94,192.42,44594011
2024-01-25,195.22,196.2675,193.1125,194.17,54822126
2024-01-24,195.42,196.38,194.34,194.5,53463269
2024-01-23,195.02,195.75,193.8299,195.18,42355590
2024-01-22,192.3,195.33,192.26,193.89,60133852
2024-01-19,189.33,191.95,188.82,191.56,68902985
2024-01-18,186.09,189.14,185.83,188.63,78005754
2024-01-17,181.27,182.93,180.3,182.68,47317433
2024-01-16,182.16,184.26,180.934,183.63,65603041
2024-01-12,186.06,186.74,185.19,185.92,40477782
2024-01-11,186.54,187.05,183.62,185.59,49128408
2024-01-10,184.35,186.4,183.92,186.19,46792908
2024-01-09,183.92,185.15,182.73,185.14,42841809
2024-01-08,182.085,185.6,181.5,185.56,59144470
2024-01-05,181.99,182.76,180.17,181.18,62196924
2024-01-04,182.15,183.0872,180.88,181.91,71983570
2024-01-03,184.22,185.88,183.43,184.25,58414460
2024-01-02,187.15,188.44,183.885,185.64,82488674
